<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BELU,D,20170929,0,611,619,610,615,20
BELU,D,20171002,0,622,625,606,618,277
BELU,D,20171003,0,610,617,610,611,1039
BELU,D,20171004,0,613,619,613,619,2
BELU,D,20171005,0,618,619,618,619,27
BELU,D,20171006,0,623,626,623,626,594
BELU,D,20171009,0,620,635,620,628,683
BELU,D,20171010,0,632,632,629,629,3
BELU,D,20171011,0,634,662,634,650,740
BELU,D,20171012,0,644,646,605,620,10132
BELU,D,20171013,0,629,630,629,630,29
BELU,D,20171016,0,632,632,632,632,2
BELU,D,20171017,0,640,640,625,625,1013
BELU,D,20171018,0,631,649,630,649,22
BELU,D,20171019,0,640,640,635,635,52
BELU,D,20171020,0,643,649,641,641,8
BELU,D,20171023,0,641,643,640,643,77
BELU,D,20171024,0,643,643,636,636,21
BELU,D,20171025,0,651,651,639,639,5
BELU,D,20171026,0,637,640,630,639,72
BELU,D,20171027,0,682,682,630,637,64
BELU,D,20171030,0,629,635,625,631,182
BELU,D,20171031,0,639,639,639,639,5
BELU,D,20171101,0,626,626,625,625,6
BELU,D,20171102,0,625,625,625,625,1
BELU,D,20171107,0,625,625,625,625,152
BELU,D,20171108,0,625,650,625,650,140
BELU,D,20171109,0,645,645,628,628,2
BELU,D,20171110,0,648,648,625,640,270
BELU,D,20171113,0,636,638,636,638,10
BELU,D,20171114,0,645,650,645,650,561
BELU,D,20171115,0,650,650,640,640,59
BELU,D,20171116,0,640,640,630,630,73
BELU,D,20171117,0,649,650,640,640,44
BELU,D,20171120,0,648,658,648,658,148
BELU,D,20171121,0,650,650,650,650,1
BELU,D,20171122,0,650,650,650,650,65
BELU,D,20171123,0,650,656,650,656,41
BELU,D,20171124,0,650,650,631,641,631
BELU,D,20171127,0,648,648,648,648,1
BELU,D,20171128,0,649,649,640,648,67
BELU,D,20171130,0,640,641,630,630,1254
BELU,D,20171201,0,636,636,633,635,96
BELU,D,20171204,0,630,636,630,636,3480
BELU,D,20171213,0,641,641,638,638,7
BELU,D,20171214,0,640,641,640,641,35
BELU,D,20171215,0,640,640,630,630,639
BELU,D,20171218,0,630,640,630,630,1161
